Name,Mobile,Gender,Age,Occupation,Sleep_Hours,Exercise_Hours,Work_Pressure,Phone_Usage,Mind_Swing,Meal_Timing,StressLevel
Ananya Patel,9876543114,Female,22,Student,6,1,6,5,Sometimes,Yes,Medium
Vikram Soni,9876543115,Male,23,Student,7,2,4,3,No,Yes,Low
Nisha Desai,9876543116,Female,19,Student,8,1,3,2,No,Yes,Low
Sandeep Yadav,9876543117,Male,21,Student,7,2,5,3,No,Yes,Low
Priya Mehta,9876543118,Female,20,Student,7,1,6,4,Sometimes,Yes,Medium
Karthik Reddy,9876543119,Male,24,Student,5,1,7,6,Sometimes,No,High
Riya Agarwal,9876543120,Female,22,Student,6,2,4,4,No,Yes,Low
Aakash Sharma,9876543121,Male,21,Student,6,1,6,4,Sometimes,Yes,Medium
Swati Verma,9876543122,Female,23,Student,5,0,8,7,Yes,No,High
Raghav Choudhury,9876543123,Male,22,Student,5,0,9,7,Yes,No,High
Anil Kumar,9876543100,Male,20,Student,8,1,4,3,No,Yes,Low
Sneha Singh,9876543101,Female,21,Student,7,2,5,2,No,Yes,Low
Rohit Verma,9876543102,Male,22,Student,8,1,3,3,No,Yes,Low
Aditi Sharma,9876543103,Female,19,Student,9,2,4,2,No,Yes,Low
Vikram Soni,9876543115,Male,23,Student,7,2,4,3,No,Yes,Low
Meena Pillai,9876543105,Female,22,Student,6,1,6,4,Sometimes,Yes,Medium
Kiran Kumar,9876543106,Male,21,Student,7,0,6,4,Sometimes,No,Medium
Pooja Nair,9876543107,Female,20,Student,6,0,7,5,Sometimes,Yes,Medium
Aman Joshi,9876543108,Male,23,Student,7,0,5,5,Sometimes,No,Medium
Diya Sen,9876543109,Female,24,Student,6,1,6,4,Sometimes,Yes,Medium
Neha Yadav,9876543129,Female,21,Student,6,1,6,4,Sometimes,Yes,Medium
Raghav Kapoor,9876543130/,Male,22,Student,6,0,7,5,Sometimes,No,Medium
Manish Chauhan,9876543110,Male,22,Student,5,0,9,7,Yes,No,High
Sara D'Souza,9876543111,Female,23,Student,5,0,8,6,Yes,No,High
Ravi Shankar,9876543112,Male,24,Student,4,0,9,7,Yes,No,High
Simran Kaur,9876543113,Female,21,Student,6,0,8,8,Yes,No,High
Anjali Joshi,9876543134,Female,22,Student,5,0,9,7,Yes,No,High
Sandeep Gupta,9876543135,Male,24,Student,4,0,8,7,Yes,No,High
Tarun Mehta,9876543136,Male,23,Student,4,0,9,8,Yes,No,High
Divya Bhatt,9876543137,Female,22,Student,5,0,8,7,Yes,No,High
Nikhil Rao,9876543138,Male,24,Student,4,0,10,9,Yes,No,High
Priya Menon,9876543139,Female,23,Student,5,0,9,8,Yes,No,High
Harsh Vardhan,9876543140,Male,22,Student,4,0,9,8,Yes,No,High
Ritika Jain,9876543141,Female,24,Student,5,0,8,7,Yes,No,High
Vivek Anand,9876543142,Male,23,Student,4,0,10,9,Yes,No,High
Sonal Kapoor,9876543143,Female,21,Student,5,0,9,8,Yes,No,High
Akash Malhotra,9876543144,Male,22,Student,6,1,6,4,Sometimes,Yes,Medium
Riya Deshmukh,9876543145,Female,21,Student,6,1,7,5,Sometimes,No,Medium
Mohit Sinha,9876543146,Male,23,Student,7,1,6,4,Sometimes,Yes,Medium
Tanya Verma,9876543147,Female,20,Student,6,0,7,5,Sometimes,Yes,Medium
Kunal Bhatia,9876543148,Male,22,Student,6,1,6,5,Sometimes,No,Medium
Shruti Nair,9876543149,Female,24,Student,6,0,7,4,Sometimes,Yes,Medium
Rahul Desai,9876543150,Male,21,Student,7,1,6,5,Sometimes,Yes,Medium
Nisha Reddy,9876543151,Female,22,Student,6,1,7,5,Sometimes,No,Medium
Yash Patel,9876543152,Male,20,Student,8,2,3,2,No,Yes,Low
Neha Rathi,9876543153,Female,21,Student,8,1,4,3,No,Yes,Low
Deepak Chawla,9876543154,Male,22,Student,9,2,3,2,No,Yes,Low
Kavya Suresh,9876543155,Female,19,Student,8,1,4,3,No,Yes,Low
Rohan Kapoor,9876543156,Male,21,Student,7,2,4,3,No,Yes,Low
Ananya Pillai,9876543157,Female,22,Student,8,2,3,2,No,Yes,Low
Siddharth Mehra,9876543158,Male,20,Student,9,1,2,2,No,Yes,Low
Pallavi Desai,9876543159,Female,23,Student,8,2,3,3,No,Yes,Low
Arvind Patel,9876543200,Male,26,Engineer,8,2,3,2,No,Yes,Low
Megha Iyer,9876543201,Female,25,Engineer,7,2,3,3,No,Yes,Low
Rahul Menon,9876543202,Male,28,Engineer,8,2,2,2,No,Yes,Low
Divya Kapoor,9876543203,Female,27,Engineer,9,1,3,3,No,Yes,Low
Rohan Bhatia,9876543204,Male,24,Engineer,8,1,3,2,No,Yes,Low
Sakshi Pandey,9876543205,Female,26,Engineer,8,2,4,2,No,Yes,Low
Nikhil Joshi,9876543206,Male,27,Engineer,9,1,2,2,No,Yes,Low
Ankita Raina,9876543207,Female,28,Engineer,7,2,4,3,No,Yes,Low
Yash Thakur,9876543208,Male,25,Engineer,8,2,3,2,No,Yes,Low
Ishita Banerjee,9876543209,Female,26,Engineer,7,1,3,2,No,Yes,Low
Aman Gupta,9876543210,Male,29,Engineer,8,2,2,2,No,Yes,Low
Tanya Sinha,9876543211,Female,30,Engineer,9,2,3,2,No,Yes,Low
Vivek Khanna,9876543212,Male,27,Engineer,8,1,2,2,No,Yes,Low
Kritika Jain,9876543213,Female,25,Engineer,7,2,3,2,No,Yes,Low
Devansh Mishra,9876543214,Male,28,Engineer,9,2,3,2,No,Yes,Low
Ritika Kapoor,9876543215,Female,27,Engineer,8,1,4,3,No,Yes,Low
Arjun Das,9876543216,Male,26,Engineer,8,2,2,2,No,Yes,Low
Riya Sharma,9876543217,Female,29,Engineer,9,1,3,2,No,Yes,Low
Manav Bhatt,9876543218,Male,25,Engineer,7,2,3,3,No,Yes,Low
Sneha Nair,9876543219,Female,28,Engineer,8,2,3,2,No,Yes,Low
Ravi Sharma,9876543220,Male,28,Engineer,6,1,6,4,Sometimes,Yes,Medium
Neha Kapoor,9876543221,Female,27,Engineer,6,0,7,5,Sometimes,No,Medium
Varun Mehta,9876543222,Male,29,Engineer,7,0,5,5,Sometimes,Yes,Medium
Sanya Arora,9876543223,Female,26,Engineer,6,1,6,4,Sometimes,Yes,Medium
Aditya Prakash,9876543224,Male,30,Engineer,7,1,5,5,Sometimes,No,Medium
Nisha Rao,9876543225,Female,29,Engineer,6,0,6,4,Sometimes,Yes,Medium
Arnav Sethi,9876543226,Male,28,Engineer,7,0,6,5,Sometimes,No,Medium
Shreya Deshmukh,9876543227,Female,27,Engineer,6,1,6,4,Sometimes,Yes,Medium
Siddharth Jain,9876543228,Male,29,Engineer,6,0,7,5,Sometimes,No,Medium
Anushka Menon,9876543229,Female,28,Engineer,7,1,5,4,Sometimes,Yes,Medium
Yuvraj Bhatt,9876543230,Male,30,Engineer,6,1,6,4,Sometimes,Yes,Medium
Priya Vyas,9876543231,Female,27,Engineer,7,0,5,5,Sometimes,No,Medium
Harsh Vardhan,9876543232,Male,28,Engineer,6,1,6,4,Sometimes,Yes,Medium
Sakshi Chawla,9876543233,Female,29,Engineer,7,1,5,5,Sometimes,Yes,Medium
Ritesh Verma,9876543234,Male,26,Engineer,6,0,6,4,Sometimes,No,Medium
Komal Dhawan,9876543235,Female,28,Engineer,7,1,5,5,Sometimes,Yes,Medium
Ashish Rana,9876543236,Male,29,Engineer,6,0,6,5,Sometimes,No,Medium
Sonal Mehta,9876543237,Female,27,Engineer,7,1,5,4,Sometimes,Yes,Medium
Dhruv Saxena,9876543238,Male,30,Engineer,6,0,7,5,Sometimes,No,Medium
Anjali Rao,9876543239,Female,29,Engineer,7,1,6,4,Sometimes,Yes,Medium
Rajeev Malhotra,9876543240,Male,32,Engineer,4,0,9,8,Yes,No,High
Tanvi Desai,9876543241,Female,30,Engineer,5,0,8,7,Yes,No,High
Abhishek Rao,9876543242,Male,31,Engineer,5,0,9,7,Yes,No,High
Kritika Sinha,9876543243,Female,29,Engineer,4,0,9,8,Yes,No,High
Mohit Bansal,9876543244,Male,33,Engineer,4,0,10,9,Yes,No,High
Riya Joshi,9876543245,Female,30,Engineer,5,0,8,7,Yes,No,High
Ankit Choudhary,9876543246,Male,32,Engineer,4,0,9,8,Yes,No,High
Sneha Banerjee,9876543247,Female,31,Engineer,5,0,8,7,Yes,No,High
Kunal Ghosh,9876543248,Male,30,Engineer,4,0,9,8,Yes,No,High
Ishita Mehra,9876543249,Female,32,Engineer,5,0,8,7,Yes,No,High
Vivek Trivedi,9876543250,Male,31,Engineer,4,0,9,9,Yes,No,High
Mansi Aggarwal,9876543251,Female,30,Engineer,5,0,9,8,Yes,No,High
Piyush Kohli,9876543252,Male,32,Engineer,4,0,10,9,Yes,No,High
Divya Kapoor,9876543253,Female,31,Engineer,5,0,9,8,Yes,No,High
Saurabh Kulkarni,9876543254,Male,33,Engineer,4,0,10,9,Yes,No,High
Shruti Bhagat,9876543255,Female,30,Engineer,5,0,8,7,Yes,No,High
Deepak Saxena,9876543256,Male,32,Engineer,4,0,9,9,Yes,No,High
Ankita Patel,9876543257,Female,31,Engineer,5,0,9,8,Yes,No,High
Manav Goel,9876543258,Male,30,Engineer,4,0,10,9,Yes,No,High
Priyanka Bhose,9876543259,Female,32,Engineer,5,0,8,7,Yes,No,High
Aarav Khanna,9876543300,Male,29,Engineer,8,2,3,2,No,Yes,Low
Isha Roy,9876543301,Female,28,Engineer,7,1,5,3,No,Yes,Low
Rudra Menon,9876543302,Male,30,Engineer,6,1,6,4,Sometimes,Yes,Medium
Sanya Kapoor,9876543303,Female,27,Engineer,6,0,6,4,Sometimes,No,Medium
Karthik Reddy,9876543304,Male,31,Engineer,5,0,9,7,Yes,No,High
Niharika Jain,9876543305,Female,29,Engineer,8,2,2,2,No,Yes,Low
Devansh Mehta,9876543306,Male,28,Engineer,7,1,5,3,No,Yes,Low
Tanya Mishra,9876543307,Female,30,Engineer,6,1,6,4,Sometimes,Yes,Medium
Arnav Sharma,9876543308,Male,31,Engineer,5,0,8,7,Yes,No,High
Megha Iyer,9876543309,Female,27,Engineer,6,0,7,5,Sometimes,No,Medium
Siddharth Pillai,9876543310,Male,30,Engineer,8,2,3,2,No,Yes,Low
Ananya Bhatia,9876543311,Female,29,Engineer,7,1,4,3,No,Yes,Low
Vedant Das,9876543312,Male,32,Engineer,6,0,7,5,Sometimes,No,Medium
Pallavi Saxena,9876543313,Female,30,Engineer,5,0,9,8,Yes,No,High
